Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Collection_date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Strain,Tissue
SRR4781477,Not applicable,WGS,assembly,202,1427867098,PRJNA323589,SAMN05930414,Model organism or animal,Not applicable,661198350,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,fasta,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,Bridgeport,SRX2313606,Illumina HiSeq 2500,BP-1,41.1570 N 73.2189 W,BP-1,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-1,female,SRP092392,Not applicable,caudal fin
SRR4781480,Not applicable,WGS,assembly,202,1393049772,PRJNA323589,SAMN05930411,Model organism or animal,Not applicable,657979469,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,sra,fasta","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,Bridgeport,SRX2313607,Illumina HiSeq 2500,BP-17,41.1570 N 73.2189 W,BP-17,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-17,male,SRP092392,Not applicable,caudal fin
SRR4781484,Not applicable,WGS,assembly,202,1665850772,PRJNA323589,SAMN05930412,Model organism or animal,Not applicable,740581471,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",adult,Bridgeport,SRX2313608,Illumina HiSeq 2500,BP-18,41.1570 N 73.2189 W,BP-18,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-18,female,SRP092392,Not applicable,caudal fin
SRR4781487,Not applicable,WGS,assembly,202,1016962536,PRJNA323589,SAMN05930537,Model organism or animal,Not applicable,545608568,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313609,Illumina HiSeq 2500,F-45,40.9637 N 73.1342 W,F-45,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-45,male,SRP092392,Not applicable,caudal fin
SRR4781490,Not applicable,WGS,assembly,202,1252447268,PRJNA323589,SAMN05930536,Model organism or animal,Not applicable,621294077,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,bam,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,Flax Pond,SRX2313610,Illumina HiSeq 2500,F-44,40.9637 N 73.1342 W,F-44,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-44,male,SRP092392,Not applicable,caudal fin
SRR4781493,Not applicable,WGS,assembly,202,152110646,PRJNA323589,SAMN05930539,Model organism or animal,Not applicable,289169530,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",adult,Flax Pond,SRX2313611,Illumina HiSeq 2500,F-47,40.9637 N 73.1342 W,F-47,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-47,female,SRP092392,Not applicable,caudal fin
SRR4781495,Not applicable,WGS,assembly,202,747098212,PRJNA323589,SAMN05930538,Model organism or animal,Not applicable,469748724,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,fasta,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313612,Illumina HiSeq 2500,F-46,40.9637 N 73.1342 W,F-46,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-46,female,SRP092392,Not applicable,caudal fin
SRR4781500,Not applicable,WGS,assembly,202,877470224,PRJNA323589,SAMN05930533,Model organism or animal,Not applicable,503002825,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313613,Illumina HiSeq 2500,F-41,40.9637 N 73.1342 W,F-41,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-41,female,SRP092392,Not applicable,caudal fin
SRR4781504,Not applicable,WGS,assembly,202,1497483570,PRJNA323589,SAMN05930532,Model organism or animal,Not applicable,690888113,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313614,Illumina HiSeq 2500,F-40,40.9637 N 73.1342 W,F-40,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-40,female,SRP092392,Not applicable,caudal fin
SRR4781508,Not applicable,WGS,assembly,202,876018248,PRJNA323589,SAMN05930535,Model organism or animal,Not applicable,508840949,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313615,Illumina HiSeq 2500,F-43,40.9637 N 73.1342 W,F-43,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-43,male,SRP092392,Not applicable,caudal fin
SRR4781511,Not applicable,WGS,assembly,202,582372868,PRJNA323589,SAMN05930534,Model organism or animal,Not applicable,420907150,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313616,Illumina HiSeq 2500,F-42,40.9637 N 73.1342 W,F-42,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-42,female,SRP092392,Not applicable,caudal fin
SRR4781514,Not applicable,WGS,assembly,202,87794452,PRJNA323589,SAMN05930531,Model organism or animal,Not applicable,271440891,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",adult,Flax Pond,SRX2313617,Illumina HiSeq 2500,F-39,40.9637 N 73.1342 W,F-39,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-39,male,SRP092392,Not applicable,caudal fin
SRR4781518,Not applicable,WGS,assembly,202,113725596,PRJNA323589,SAMN05930530,Model organism or animal,Not applicable,279168061,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313618,Illumina HiSeq 2500,F-35,40.9637 N 73.1342 W,F-35,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-35,female,SRP092392,Not applicable,caudal fin
SRR4781519,Not applicable,WGS,assembly,202,1162672004,PRJNA323589,SAMN05930451,Model organism or animal,Not applicable,588376175,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,Bridgeport,SRX2313619,Illumina HiSeq 2500,BP-7,41.1570 N 73.2189 W,BP-7,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-7,male,SRP092392,Not applicable,caudal fin
SRR4781521,Not applicable,WGS,assembly,202,1214376934,PRJNA323589,SAMN05930452,Model organism or animal,Not applicable,597949374,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,Bridgeport,SRX2313620,Illumina HiSeq 2500,BP-8,41.1570 N 73.2189 W,BP-8,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-8,male,SRP092392,Not applicable,caudal fin
SRR4781522,Not applicable,WGS,assembly,202,1399818792,PRJNA323589,SAMN05930540,Model organism or animal,Not applicable,654896506,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,bam,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",adult,Flax Pond,SRX2313621,Illumina HiSeq 2500,F-49,40.9637 N 73.1342 W,F-49,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-49,male,SRP092392,Not applicable,caudal fin
SRR4781524,Not applicable,WGS,assembly,202,1241640672,PRJNA323589,SAMN05930541,Model organism or animal,Not applicable,625361489,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313622,Illumina HiSeq 2500,F-4,40.9637 N 73.1342 W,F-4,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-4,female,SRP092392,Not applicable,caudal fin
SRR4781525,Not applicable,WGS,assembly,202,20796506,PRJNA323589,SAMN05930542,Model organism or animal,Not applicable,246590161,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313623,Illumina HiSeq 2500,F-50,40.9637 N 73.1342 W,F-50,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-50,male,SRP092392,Not applicable,caudal fin
SRR4781527,Not applicable,WGS,assembly,202,685820098,PRJNA323589,SAMN05930543,Model organism or animal,Not applicable,450137549,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313624,Illumina HiSeq 2500,F-51,40.9637 N 73.1342 W,F-51,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-51,female,SRP092392,Not applicable,caudal fin
SRR4781528,Not applicable,WGS,assembly,202,148159930,PRJNA323589,SAMN05930544,Model organism or animal,Not applicable,289108310,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313625,Illumina HiSeq 2500,F-52,40.9637 N 73.1342 W,F-52,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-52,female,SRP092392,Not applicable,caudal fin
SRR4781530,Not applicable,WGS,assembly,202,1665043782,PRJNA323589,SAMN05930545,Model organism or animal,Not applicable,726015971,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,Flax Pond,SRX2313626,Illumina HiSeq 2500,F-53,40.9637 N 73.1342 W,F-53,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-53,female,SRP092392,Not applicable,caudal fin
SRR4781534,Not applicable,WGS,assembly,202,1490579412,PRJNA323589,SAMN05930546,Model organism or animal,Not applicable,672814352,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313627,Illumina HiSeq 2500,F-54,40.9637 N 73.1342 W,F-54,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-54,female,SRP092392,Not applicable,caudal fin
SRR4781538,Not applicable,WGS,assembly,202,763596562,PRJNA323589,SAMN05930547,Model organism or animal,Not applicable,474310986,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,fasta,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313628,Illumina HiSeq 2500,F-5,40.9637 N 73.1342 W,F-5,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-5,male,SRP092392,Not applicable,caudal fin
SRR4781542,Not applicable,WGS,assembly,202,1486009970,PRJNA323589,SAMN05930548,Model organism or animal,Not applicable,682570779,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313629,Illumina HiSeq 2500,F-6,40.9637 N 73.1342 W,F-6,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-6,female,SRP092392,Not applicable,caudal fin
SRR4781545,Not applicable,WGS,assembly,202,357818356,PRJNA323589,SAMN05930549,Model organism or animal,Not applicable,355122614,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313630,Illumina HiSeq 2500,F-7,40.9637 N 73.1342 W,F-7,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-7,female,SRP092392,Not applicable,caudal fin
SRR4781548,Not applicable,WGS,assembly,199,8137687864,PRJNA323589,SAMN05930637,Model organism or animal,Not applicable,4793299655,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,sra,fasta","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,New Bedford Harbor,SRX2313631,Illumina HiSeq 2500,NBH-47,41.6676 N 70.9159 W,NBH-47,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-47,female,SRP092392,Not applicable,caudal fin
SRR4781552,Not applicable,WGS,assembly,199,6501634196,PRJNA323589,SAMN05930638,Model organism or animal,Not applicable,3850527442,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"fasta,bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,New Bedford Harbor,SRX2313632,Illumina HiSeq 2500,NBH-48,41.6676 N 70.9159 W,NBH-48,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-48,female,SRP092392,Not applicable,caudal fin
SRR4781555,Not applicable,WGS,assembly,202,1232573700,PRJNA323589,SAMN05930551,Model organism or animal,Not applicable,610537901,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313633,Illumina HiSeq 2500,F-9,40.9637 N 73.1342 W,F-9,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-9,male,SRP092392,Not applicable,caudal fin
SRR4781558,Not applicable,WGS,assembly,202,1010576912,PRJNA323589,SAMN05930550,Model organism or animal,Not applicable,543726012,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313634,Illumina HiSeq 2500,F-8,40.9637 N 73.1342 W,F-8,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-8,female,SRP092392,Not applicable,caudal fin
SRR4781559,Not applicable,WGS,assembly,199,14176474644,PRJNA323589,SAMN05930606,Model organism or animal,Not applicable,8119504149,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,New Bedford Harbor,SRX2313635,Illumina HiSeq 2500,NBH-18,41.6676 N 70.9159 W,NBH-18,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-18,female,SRP092392,Not applicable,caudal fin
SRR4781561,Not applicable,WGS,assembly,199,12159011728,PRJNA323589,SAMN05930605,Model organism or animal,Not applicable,6981097413,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"fasta,sra,bam","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,New Bedford Harbor,SRX2313636,Illumina HiSeq 2500,NBH-17,41.6676 N 70.9159 W,NBH-17,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-17,female,SRP092392,Not applicable,caudal fin
SRR4781562,Not applicable,WGS,assembly,199,11052133928,PRJNA323589,SAMN05930604,Model organism or animal,Not applicable,6274931567,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,fasta,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,New Bedford Harbor,SRX2313637,Illumina HiSeq 2500,NBH-16,41.6676 N 70.9159 W,NBH-16,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-16,female,SRP092392,Not applicable,caudal fin
SRR4781565,Not applicable,WGS,assembly,199,6203119964,PRJNA323589,SAMN05930603,Model organism or animal,Not applicable,3739389758,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"sra,fasta,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,New Bedford Harbor,SRX2313638,Illumina HiSeq 2500,NBH-14,41.6676 N 70.9159 W,NBH-14,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-14,female,SRP092392,Not applicable,caudal fin
SRR4781566,Not applicable,WGS,assembly,199,9682216972,PRJNA323589,SAMN05930602,Model organism or animal,Not applicable,5705051123,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"fasta,bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,New Bedford Harbor,SRX2313639,Illumina HiSeq 2500,NBH-13,41.6676 N 70.9159 W,NBH-13,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-13,male,SRP092392,Not applicable,caudal fin
SRR4781568,Not applicable,WGS,assembly,199,11425619804,PRJNA323589,SAMN05930601,Model organism or animal,Not applicable,6706723467,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,sra,fasta","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,New Bedford Harbor,SRX2313640,Illumina HiSeq 2500,NBH-12,41.6676 N 70.9159 W,NBH-12,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-12,female,SRP092392,Not applicable,caudal fin
SRR4781570,Not applicable,WGS,assembly,199,3207338792,PRJNA323589,SAMN05930600,Model organism or animal,Not applicable,2066570873,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"fasta,bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,New Bedford Harbor,SRX2313641,Illumina HiSeq 2500,NBH-11,41.6676 N 70.9159 W,NBH-11,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-11,female,SRP092392,Not applicable,caudal fin
SRR4781572,Not applicable,WGS,assembly,199,10873533308,PRJNA323589,SAMN05930599,Model organism or animal,Not applicable,6412721672,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,sra,fasta","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,New Bedford Harbor,SRX2313642,Illumina HiSeq 2500,NBH-10,41.6676 N 70.9159 W,NBH-10,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-10,male,SRP092392,Not applicable,caudal fin
SRR4781574,Not applicable,WGS,assembly,199,15153124224,PRJNA323589,SAMN05930366,Model organism or animal,Not applicable,8683594493,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"sra,fasta,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,Block Island,SRX2313643,Illumina HiSeq 2500,BI-23,41.1818 N 71.5793 W,BI-23,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-23,male,SRP092392,Not applicable,caudal fin
SRR4781576,Not applicable,WGS,assembly,199,12328400356,PRJNA323589,SAMN05930365,Model organism or animal,Not applicable,7401308067,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,Block Island,SRX2313644,Illumina HiSeq 2500,BI-22,41.1818 N 71.5793 W,BI-22,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-22,male,SRP092392,Not applicable,caudal fin
SRR4781578,Not applicable,WGS,assembly,199,8203539448,PRJNA323589,SAMN05930364,Model organism or animal,Not applicable,4597831027,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,fasta,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Block Island,SRX2313645,Illumina HiSeq 2500,BI-21,41.1818 N 71.5793 W,BI-21,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-21,male,SRP092392,Not applicable,caudal fin
SRR4781581,Not applicable,WGS,assembly,199,13981604232,PRJNA323589,SAMN05930363,Model organism or animal,Not applicable,8225706596,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,fasta,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,Block Island,SRX2313646,Illumina HiSeq 2500,BI-20,41.1818 N 71.5793 W,BI-20,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-20,male,SRP092392,Not applicable,caudal fin
SRR4781585,Not applicable,WGS,assembly,199,13278727788,PRJNA323589,SAMN05930370,Model organism or animal,Not applicable,7454727650,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,Block Island,SRX2313647,Illumina HiSeq 2500,BI-27,41.1818 N 71.5793 W,BI-27,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-27,male,SRP092392,Not applicable,caudal fin
SRR4781591,Not applicable,WGS,assembly,199,7523203428,PRJNA323589,SAMN05930369,Model organism or animal,Not applicable,4246414703,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"sra,bam,fasta","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,Block Island,SRX2313648,Illumina HiSeq 2500,BI-26,41.1818 N 71.5793 W,BI-26,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-26,male,SRP092392,Not applicable,caudal fin
SRR4781593,Not applicable,WGS,assembly,199,13796011476,PRJNA323589,SAMN05930368,Model organism or animal,Not applicable,7768890016,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"sra,fasta,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,Block Island,SRX2313649,Illumina HiSeq 2500,BI-25,41.1818 N 71.5793 W,BI-25,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-25,male,SRP092392,Not applicable,caudal fin
SRR4781596,Not applicable,WGS,assembly,199,10216615544,PRJNA323589,SAMN05930367,Model organism or animal,Not applicable,6019735006,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,fasta,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Block Island,SRX2313650,Illumina HiSeq 2500,BI-24,41.1818 N 71.5793 W,BI-24,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-24,male,SRP092392,Not applicable,caudal fin
SRR4781599,Not applicable,WGS,assembly,199,7888712752,PRJNA323589,SAMN05930639,Model organism or animal,Not applicable,4730920543,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,sra,fasta","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,New Bedford Harbor,SRX2313651,Illumina HiSeq 2500,NBH-49,41.6676 N 70.9159 W,NBH-49,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-49,female,SRP092392,Not applicable,caudal fin
SRR4781604,Not applicable,WGS,assembly,199,5629929672,PRJNA323589,SAMN05930640,Model organism or animal,Not applicable,3424641614,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"bam,fasta,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,New Bedford Harbor,SRX2313652,Illumina HiSeq 2500,NBH-4,41.6676 N 70.9159 W,NBH-4,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-4,female,SRP092392,Not applicable,caudal fin
SRR4781607,Not applicable,WGS,assembly,199,8509521108,PRJNA323589,SAMN05930641,Model organism or animal,Not applicable,5095390846,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"sra,bam,fasta","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,New Bedford Harbor,SRX2313653,Illumina HiSeq 2500,NBH-56,41.6676 N 70.9159 W,NBH-56,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-56,female,SRP092392,Not applicable,caudal fin
SRR4781608,Not applicable,WGS,assembly,199,6718733952,PRJNA323589,SAMN05930642,Model organism or animal,Not applicable,4082178196,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"fasta,bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,New Bedford Harbor,SRX2313654,Illumina HiSeq 2500,NBH-5,41.6676 N 70.9159 W,NBH-5,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-5,male,SRP092392,Not applicable,caudal fin
